consumer_id,notebook_key,comment,rating
1,1,성능이 기대 이상이에요.,5
2,2,디자인은 좋지만 발열이 있어요.,3
3,3,가격 대비 괜찮은 제품입니다.,4
4,4,휴대성이 뛰어나서 마음에 들어요.,5
5,5,배터리가 생각보다 오래가지 않네요.,2
6,6,화면이 선명하고 예뻐요.,4
7,7,조금 무겁지만 성능은 만족합니다.,4
8,8,게임용으로 쓰기에는 다소 부족해요.,2
9,9,부팅 속도가 아주 빠릅니다.,5
10,10,재구매 의사 있습니다!,5
11,1,윈도우 설치가 조금 번거로웠어요.,3
12,2,터치패드 감도도 좋고 만족해요.,4
13,3,외관이 고급스럽습니다.,5
14,4,소음이 좀 있어요.,3
15,5,무난하게 쓰기 좋아요.,4
16,6,이 가격에 이 정도면 훌륭하죠.,5
17,7,포장이 부실해서 아쉬웠어요.,2
18,8,발열이 심하진 않네요.,4
19,9,화면 밝기가 아쉽습니다.,3
20,10,학생용으로 딱 좋아요.,5
21,1,USB 포트가 부족해요.,2
22,2,오피스 작업용으로 충분해요.,4
23,3,배터리 성능이 오래가서 좋아요.,5
24,4,배송이 조금 느렸어요.,3
25,5,디자인이 정말 깔끔하네요.,5
26,6,터치 스크린이 잘 작동해요.,4
27,7,인터넷 속도도 괜찮습니다.,4
28,8,설명서가 불친절해요.,2
29,9,마감이 정교해서 만족합니다.,5
30,10,발열이 없고 조용해요.,5
